year,month,longest_attack_duration,shortest_attack_duration
2022,09,0 days 00:59:00,0 days 00:59:00
2022,10,0 days 10:00:00,0 days 00:30:00
2022,11,0 days 03:00:00,0 days 01:00:00
2022,12,0 days 09:15:00,0 days 01:00:00
2023,01,0 days 08:00:00,0 days 03:00:00
2023,02,0 days 14:10:00,0 days 02:05:00
2023,03,0 days 04:30:00,0 days 02:10:00
2023,04,1 days 10:30:00,0 days 02:00:00
2023,05,0 days 08:30:00,0 days 00:30:00
2023,06,0 days 08:00:00,0 days 02:30:00
2023,07,0 days 08:00:00,0 days 01:30:00
2023,08,0 days 08:00:00,0 days 00:30:00
2023,09,0 days 08:00:00,0 days 05:30:00
2023,10,0 days 09:00:00,0 days 01:00:00
2023,11,0 days 09:00:00,0 days 02:00:00
2023,12,0 days 13:00:00,0 days 01:00:00
2024,01,0 days 12:00:00,0 days 01:10:00
2024,02,0 days 08:00:00,0 days 08:00:00
2024,03,0 days 08:00:00,0 days 04:00:00
